velocity,deceleration,acceleration,lateral_jerk,driving_style
very_slow,small,small,small,calm
very_slow,small,small,medium,between_calm_and_moderate
very_slow,small,small,large,more_moderate_than_aggressive
very_slow,small,medium,small,between_calm_and_moderate
very_slow,small,medium,medium,more_moderate_than_calm
very_slow,small,medium,large,moderate
very_slow,small,large,small,more_moderate_than_aggressive
very_slow,small,large,medium,more_moderate_than_aggressive
very_slow,small,large,large,more_aggressive_than_moderate
very_slow,medium,small,small,more_calm_than_moderate
very_slow,medium,small,medium,more_moderate_than_calm
very_slow,medium,small,large,more_moderate_than_aggressive
very_slow,medium,medium,small,more_moderate_than_aggressive
very_slow,medium,medium,medium,more_moderate_than_calm
very_slow,medium,medium,large,between_moderate_and_aggressive
very_slow,medium,large,small,more_moderate_than_aggressive
very_slow,medium,large,medium,more_moderate_than_aggressive
very_slow,medium,large,large,more_aggressive_than_moderate
very_slow,large,small,small,more_moderate_than_aggressive
very_slow,large,small,medium,more_moderate_than_aggressive
very_slow,large,small,large,aggressive
very_slow,large,medium,small,more_moderate_than_aggressive
very_slow,large,medium,medium,between_moderate_and_aggressive
very_slow,large,medium,large,aggressive
very_slow,large,large,small,more_aggressive_than_moderate
very_slow,large,large,medium,more_aggressive_than_moderate
very_slow,large,large,large,aggressive
slow,small,small,small,more_calm_than_moderate
slow,small,small,medium,between_calm_and_moderate
slow,small,small,large,more_moderate_than_calm
slow,small,medium,small,between_calm_and_moderate
slow,small,medium,medium,between_calm_and_moderate
slow,small,medium,large,more_moderate_than_calm
slow,small,large,small,more_moderate_than_aggressive
slow,small,large,medium,between_moderate_and_aggressive
slow,small,large,large,more_aggressive_than_moderate
slow,medium,small,small,between_calm_and_moderate
slow,medium,small,medium,between_calm_and_moderate
slow,medium,small,large,more_moderate_than_calm
slow,medium,medium,small,more_calm_than_moderate
slow,medium,medium,medium,between_calm_and_moderate
slow,medium,medium,large,between_moderate_and_aggressive
slow,medium,large,small,between_moderate_and_aggressive
slow,medium,large,medium,between_moderate_and_aggressive
slow,medium,large,large,aggressive
slow,large,small,small,moderate
slow,large,small,medium,more_moderate_than_aggressive
slow,large,small,large,more_aggressive_than_moderate
slow,large,medium,small,more_moderate_than_aggressive
slow,large,medium,medium,more_moderate_than_aggressive
slow,large,medium,large,more_aggressive_than_moderate
slow,large,large,small,between_moderate_and_aggressive
slow,large,large,medium,more_aggressive_than_moderate
slow,large,large,large,aggressive
normal,small,small,small,calm
normal,small,small,medium,more_calm_than_moderate
normal,small,small,large,more_moderate_than_aggressive
normal,small,medium,small,calm
normal,small,medium,medium,more_calm_than_moderate
normal,small,medium,large,more_moderate_than_aggressive
normal,small,large,small,more_moderate_than_aggressive
normal,small,large,medium,more_moderate_than_aggressive
normal,small,large,large,between_moderate_and_aggressive
normal,medium,small,small,more_calm_than_moderate
normal,medium,small,medium,between_calm_and_moderate
normal,medium,small,large,more_moderate_than_aggressive
normal,medium,medium,small,more_moderate_than_calm
normal,medium,medium,medium,moderate
normal,medium,medium,large,between_moderate_and_aggressive
normal,medium,large,small,more_moderate_than_aggressive
normal,medium,large,medium,between_moderate_and_aggressive
normal,medium,large,large,more_aggressive_than_moderate
normal,large,small,small,more_moderate_than_aggressive
normal,large,small,medium,more_moderate_than_aggressive
normal,large,small,large,more_aggressive_than_moderate
normal,large,medium,small,more_moderate_than_aggressive
normal,large,medium,medium,between_moderate_and_aggressive
normal,large,medium,large,aggressive
normal,large,large,small,more_aggressive_than_moderate
normal,large,large,medium,more_aggressive_than_moderate
normal,large,large,large,aggressive
fast,small,small,small,more_calm_than_moderate
fast,small,small,medium,between_calm_and_moderate
fast,small,small,large,more_moderate_than_aggressive
fast,small,medium,small,more_calm_than_moderate
fast,small,medium,medium,between_calm_and_moderate
fast,small,medium,large,more_moderate_than_aggressive
fast,small,large,small,between_moderate_and_aggressive
fast,small,large,medium,between_moderate_and_aggressive
